year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,foster_home,group_home,relative,residential_treatment,foster_home_rate,group_home_rate,relative_rate,residential_treatment_rate
1998,1,1.0,Adams,8,Central,Mostly Urban,32.6,7080,5.0,3.0,11.0,13.0,70.6,42.4,155.4,183.6
1998,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1053,0.0,0.0,2.0,1.0,0.0,0.0,189.9,95.0
1998,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1582,1.0,0.0,1.0,0.0,63.2,0.0,63.2,0.0
1998,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4673,0.0,2.0,2.0,7.0,0.0,42.8,42.8,149.8
1998,5,9.0,Brown,8,Central,Mostly Urban,41.1,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,501,1.0,1.0,2.0,2.0,199.6,199.6,399.2,399.2
1998,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1806,1.0,0.0,0.0,0.0,55.4,0.0,0.0,0.0
1998,9,17.0,Cass,8,Central,Mostly Rural,52.1,1374,0.0,0.0,2.0,0.0,0.0,0.0,145.6,0.0
1998,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14526,6.0,8.0,18.0,6.0,41.3,55.1,123.9,41.3
1998,11,21.0,Christian,4,Central,Mostly Urban,43.5,3539,0.0,0.0,2.0,0.0,0.0,0.0,56.5,0.0
1998,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1718,0.0,1.0,0.0,0.0,0.0,58.2,0.0,0.0
1998,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1439,1.0,8.0,2.0,1.0,69.5,555.9,139.0,69.5
1998,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,15,29.0,Coles,5,Central,Mostly Urban,24.3,4291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,518307,29.0,146.0,661.0,912.0,5.6,28.2,127.5,176.0
1998,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2069,0.0,2.0,0.0,2.0,0.0,96.7,0.0,96.7
1998,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,7725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,91110,9.0,8.0,14.0,50.0,9.9,8.8,15.4,54.9
1998,23,45.0,Edgar,5,Central,Mostly Rural,51.8,2064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,24,47.0,Edwards,2,Southern,Completely Rural,100.0,671,0.0,2.0,0.0,0.0,0.0,298.1,0.0,0.0
1998,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,3963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2185,0.0,0.0,0.0,2.0,0.0,0.0,0.0,91.5
